date,New_Cases,New_Recovered,New_Deaths,Province,Population
2020-04-14,0,0,0,Maluku,1847097
2020-04-14,0,0,0,Maluku Utara,1307803
2020-04-14,0,0,0,Nusa Tenggara Barat,5270247
2020-04-14,0,0,0,Nusa Tenggara Timur,5411321
2020-04-14,0,0,0,Papua,4340348
2020-04-14,0,0,0,Papua Barat,1140701
2020-04-14,0,0,0,Riau,6074100
2020-04-14,0,2,0,Sulawesi Utara,2641884
2020-04-14,0,0,0,Sulawesi Tenggara,2635461
2020-04-14,0,0,0,Sulawesi Barat,1559984
2020-04-14,0,0,0,Sulawesi Tengah,2955567
2020-04-14,0,0,1,Kalimantan Tengah,2570289
2020-04-15,0,0,0,Aceh,5247257
2020-04-15,0,0,0,Bengkulu,1999539
2020-04-15,0,0,0,Gorontalo,1180651
2020-04-15,0,0,0,Kalimantan Barat,5422814
2020-04-15,0,0,0,Kalimantan Timur,3552191
2020-04-15,0,0,0,Lampung,9095591
2020-04-15,0,0,0,Nusa Tenggara Barat,5270247
2020-04-15,0,0,0,Nusa Tenggara Timur,5411321
2020-04-15,0,0,0,Papua Barat,1140701
2020-04-15,0,4,2,Riau,6074100
2020-04-16,0,0,0,Aceh,5247257
2020-04-16,0,0,0,Bengkulu,1999539
2020-04-16,0,0,0,Maluku,1847097
2020-04-16,0,0,0,Maluku Utara,1307803
2020-04-16,0,0,0,Nusa Tenggara Timur,5411321
2020-04-16,0,1,0,Sulawesi Utara,2641884
2020-04-16,0,0,0,Sumatera Barat,5519245
2020-04-16,0,0,0,Sulawesi Barat,1559984
2020-04-16,0,0,0,Sulawesi Tengah,2955567
2020-04-17,0,0,0,Aceh,5247257
2020-04-17,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-17,0,0,0,Bengkulu,1999539
2020-04-17,0,0,0,Gorontalo,1180651
2020-04-17,0,0,0,Kalimantan Barat,5422814
2020-04-17,0,1,0,Kalimantan Timur,3552191
2020-04-17,0,0,0,Lampung,9095591
2020-04-17,0,0,0,Maluku,1847097
2020-04-17,0,0,0,Maluku Utara,1307803
2020-04-17,0,0,0,Nusa Tenggara Timur,5411321
2020-04-17,0,0,0,Papua Barat,1140701
2020-04-17,0,0,0,Sulawesi Utara,2641884
2020-04-17,0,0,0,Sulawesi Tenggara,2635461
2020-04-17,0,0,0,Sulawesi Barat,1559984
2020-04-17,0,0,0,Sumatera Utara,14874889
2020-04-18,0,1,0,Kepulauan Bangka Belitung,1379767
2020-04-18,0,1,0,Bengkulu,1999539
2020-04-18,0,0,0,Gorontalo,1180651
2020-04-18,0,1,0,Jambi,3493357
2020-04-18,0,0,0,Kalimantan Barat,5422814
2020-04-18,0,0,0,Lampung,9095591
2020-04-18,0,0,0,Maluku Utara,1307803
2020-04-18,0,0,0,Nusa Tenggara Timur,5411321
2020-04-18,0,0,0,Papua Barat,1140701
2020-04-18,0,0,0,Sulawesi Barat,1559984
2020-04-18,0,0,0,Sulawesi Tengah,2955567
2020-04-18,0,0,0,Sumatera Utara,14874889
2020-04-18,0,0,1,Sulawesi Tenggara,2635461
2020-04-19,0,0,0,Bengkulu,1999539
2020-04-19,0,0,0,Gorontalo,1180651
2020-04-19,0,0,0,Jambi,3493357
2020-04-19,0,0,0,Kalimantan Barat,5422814
2020-04-19,0,1,0,Kepulauan Riau,1929400
2020-04-19,0,0,0,Lampung,9095591
2020-04-19,0,0,0,Maluku,1847097
2020-04-19,0,0,0,Maluku Utara,1307803
2020-04-19,0,0,0,Nusa Tenggara Timur,5411321
2020-04-19,0,0,0,Riau,6074100
2020-04-19,0,0,0,Sulawesi Utara,2641884
2020-04-19,0,0,0,Sulawesi Barat,1559984
2020-04-20,0,0,0,Aceh,5247257
2020-04-20,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-20,0,0,0,Bengkulu,1999539
2020-04-20,0,0,0,Gorontalo,1180651
2020-04-20,0,0,0,Jambi,3493357
2020-04-20,0,0,0,Kalimantan Barat,5422814
2020-04-20,0,0,0,Kalimantan Selatan,4023049
2020-04-20,0,0,0,Lampung,9095591
2020-04-20,0,4,0,Maluku,1847097
2020-04-20,0,0,0,Maluku Utara,1307803
2020-04-20,0,0,0,Nusa Tenggara Timur,5411321
2020-04-20,0,14,0,Papua,4340348
2020-04-20,0,0,0,Papua Barat,1140701
2020-04-20,0,0,0,Sulawesi Utara,2641884
2020-04-20,0,0,0,Sulawesi Tenggara,2635461
2020-04-20,0,0,0,Sulawesi Barat,1559984
2020-04-20,0,0,0,Sumatera Selatan,8217551
2020-04-20,0,0,0,Sulawesi Tengah,2955567
